class,subset,output_file,original_file,n_out,n_org,emd
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0132.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0132.off,836,806,0.34860078361060254
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0133.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0133.off,3056,2954,0.3095162892998954
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0134.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0134.off,1248,1206,0.32251893474866977
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0135.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0135.off,10673,10319,0.27187467318644254
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0136.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0136.off,3582,3462,0.3041850457133994
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0137.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0137.off,225,216,0.3295520671347343
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0138.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0138.off,3052,2950,0.3516896763428484
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0139.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0139.off,1750,1690,0.33119501368018534
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0140.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0140.off,787,760,0.26450951139688245
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0141.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0141.off,77184,74637,0.2646625091675169
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0142.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0142.off,3318,3207,0.28241586569134325
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0143.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0143.off,1076,1040,0.2782587334798606
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0144.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0144.off,607,586,0.2732476452679885
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0145.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0145.off,5638,5452,0.33147498328552194
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0146.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0146.off,11524,11143,0.2903989482941267
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0147.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0147.off,1594,1540,0.35502789876693763
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0148.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0148.off,727,703,0.29328388693406027
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0149.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0149.off,100050,96750,0.336732430830731
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0150.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0150.off,64613,62480,0.2628106889738424
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0151.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0151.off,4817,4658,0.2952769083359458
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0152.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0152.off,879,849,0.34995529568000483
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0153.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0153.off,6649,6427,0.34663993207188154
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0154.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0154.off,1545,1494,0.3101367385908188
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0155.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0155.off,6428,6215,0.28684426230530174
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0156.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0156.off,10506,10158,0.2817641728450653
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0516.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0516.off,15069,15069,0.04891223290813964
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0517.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0517.off,21345,21345,0.08858132206902125
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0518.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0518.off,10933,10933,0.08861533126125298
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0519.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0519.off,108,108,0.01767541906455544
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0520.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0520.off,423,423,0.04485658497820731
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0521.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0521.off,6384,6384,0.06280349678948349
bed,decrypted,D:\Year 3\chaos_theory_implementation\output\bed\decrypted_bed_0522.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bed\test\bed_0522.off,3693,3693,0.04923510558628695
